Route Name,Route Link,Bus Name,Bus Type,Start Time,End Time,Total Duration,Price,Seats Available,Ratings
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,RS YADAV SMART BUS,VE A/C Seater / Sleeper (2+1),21:40,04:45,07h 05m,INR 699,,"4.2
52"
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,SHRI RAM TRAVELS,A/C Seater (2+2),11:45,16:45,05h 00m,INR 740,,"3.9
16"
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),03:50,08:10,04h 20m,539,,"3.1
13"
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,INR 500,,"2.2
35"
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Seater / Sleeper (2+2),21:30,04:30,07h 00m,INR 700,,"2.1
8"
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,03:30,06h 50m,INR 700,,"4.4
16"
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,Blue Sky Tour and Travels,AC Seater (2+2),22:15,04:16,06h 01m,INR 899,,New
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:15,05h 16m,INR 740,,"3.5
34"
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),01:40,06:20,04h 40m,494,,"2.8
66"
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly,FlixBus,Bharat Benz A/C Seater (2+2),23:35,04:35,05h 00m,INR 445.54,,"4.8
8"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Gola Bus Service,Bharat Benz A/C Seater /Sleeper (2+1),22:30,06:30,08h 00m,INR 699,,"4.8
1472"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),23:50,07:30,07h 40m,INR 399,,"4.7
1509"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),23:45,07:45,08h 00m,INR 389,,"4.7
1219"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,AdRaj Kalpana Travels Pvt.Ltd,A/C Seater / Sleeper (2+1),16:15,23:45,07h 30m,INR 599,,"3.9
168"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Raj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),23:25,07:25,08h 00m,INR 449,,"4.6
1266"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:55,07:30,07h 35m,INR 423,,"4.6
865"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Yolo Bus,Bharat Benz A/C Sleeper (2+1),11:15,19:13,07h 58m,INR 500,,"4.7
328"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,AdFouji travels,A/C Seater / Sleeper (2+1),21:15,04:30,07h 15m,INR 545,,"4.3
186"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),22:30,06:45,08h 15m,INR 439,,"4.7
312"
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:05,07:30,08h 25m,INR 423,,"4.5
1009"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,RS YADAV SMART BUS,VE A/C Seater / Sleeper (2+1),23:59,05:55,05h 56m,INR 799,,"4.5
31"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,23:20,06h 20m,INR 649,,"2.8
86"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+1),23:40,04:50,05h 10m,INR 750,,"2.9
31"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira TPT,AC Sleeper (2+1),23:15,05:00,05h 45m,INR 900,,"2.7
26"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,FlixBus,A/C Seater (2+2),23:50,05:05,05h 15m,INR 445.54,,"4.6
13"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Blue Sky Tour and Travels,AC Seater (2+2),02:15,07:30,05h 15m,INR 999,,New
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),19:30,01:30,06h 00m,INR 549,,"3.7
19"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),23:10,06:00,06h 50m,INR 500,,"2.2
61"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,SHRI RAM TRAVELS,A/C Seater (2+2),11:35,17:00,05h 25m,INR 740,,"2.2
18"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),23:50,06:30,06h 40m,INR 700,,"2.3
19"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,SHRI RAM TRAVELS,A/C Seater (2+2),16:15,21:15,05h 00m,INR 740,,"2.0
11"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,SHRI RAM TRAVELS,A/C Seater (2+2),10:00,15:30,05h 30m,INR 740,,"2.8
4"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,SHRI RAM TRAVELS,A/C Seater (2+2),12:00,16:30,04h 30m,INR 299,,"2.0
17"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),22:15,04:00,05h 45m,INR 700,,"1.3
7"
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Jaiswal Holidays,A/C Sleeper (2+1),22:40,04:30,05h 50m,INR 1000,,3.1
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,RSRTC - 192993,A/C Seater / Sleeper (2+1),05:00,10:15,05h 15m,INR 736,,3.6
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Anshi Raj Shree Travels,Bharat Benz A/C Sleeper (2+1),23:59,05:45,05h 46m,INR 699,,"4.1
91"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),04:00,09:50,05h 50m,INR 389,,"3.8
38"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Shatabdi Travels Gorakhpur,AC Sleeper (2+1),23:46,05:33,05h 47m,INR 649,,"3.4
51"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),05:50,11:25,05h 35m,450,,"4.6
12"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Gola Bus Service,VE A/C Sleeper (2+1),01:10,06:50,05h 40m,INR 799,,"5.0
8"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),03:30,08:50,05h 20m,INR 449,,"4.3
15"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),01:30,06:30,05h 00m,INR 369,,"4.5
10"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Krishna Travels,A/C Seater/Sleeper (2+1),01:00,07:00,06h 00m,INR 399,,"4.9
5"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Gola Bus Service,VE A/C Seater / Sleeper (2+1),05:00,10:10,05h 10m,INR 499,,"4.6
5"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,MISHRA BANDHU BUS SERVICE,A/C Seater / Sleeper (2+1),21:30,03:30,06h 00m,INR 550,,"3.2
14"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Shree Mahalaxmi Travels,AC Sleeper (2+1),01:30,08:00,06h 30m,856,,2.7
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Gola Bus Service,VE A/C Seater / Sleeper (2+1),04:15,09:30,05h 15m,INR 499,,"4.1
6"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Shobha Bus Service,A/C Sleeper (2+1),23:00,05:30,06h 30m,INR 549,,"4.0
6"
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Gola Bus Service,VE A/C Seater / Sleeper (2+1),03:10,08:20,05h 10m,INR 499,,"3.7
7"
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - MNP0128,Ordinary Non AC Seater 2+3,00:45,03:37,02h 52m,INR 280,,3.3
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - MHB0184,Ordinary Non AC Seater 2+3,01:08,05:04,03h 56m,INR 287,,3.3
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - MNP0132,Ordinary Non AC Seater 2+3,01:20,04:12,02h 52m,INR 280,,3.3
